@relation speaker_channel_1

@attribute channel_1_0 numeric
@attribute channel_1_1 numeric
@attribute channel_1_2 numeric
@attribute channel_1_3 numeric
@attribute channel_1_4 numeric
@attribute channel_1_5 numeric
@attribute channel_1_6 numeric
@attribute channel_1_7 numeric
@attribute channel_1_8 numeric
@attribute channel_1_9 numeric
@attribute channel_1_10 numeric
@attribute channel_1_11 numeric
@attribute channel_1_12 numeric
@attribute channel_1_13 numeric
@attribute channel_1_14 numeric
@attribute channel_1_15 numeric
@attribute channel_1_16 numeric
@attribute channel_1_17 numeric
@attribute channel_1_18 numeric
@attribute channel_1_19 numeric
@attribute channel_1_20 numeric
@attribute channel_1_21 numeric
@attribute channel_1_22 numeric
@attribute channel_1_23 numeric
@attribute channel_1_24 numeric
@attribute channel_1_25 numeric
@attribute channel_1_26 numeric
@attribute channel_1_27 numeric
@attribute channel_1_28 numeric
@attribute class {1,2,3,4,5,6,7,8,9}

@data
-0.207383,-0.193249,-0.239664,-0.218572,-0.279891,-0.311977,-0.336227,-0.349773,-0.382745,-0.527367,-0.548025,-0.470988,-0.495095,-0.50008,-0.496439,-0.481933,-0.510964,-0.564878,-0.612291,-0.63835,?,?,?,?,?,?,?,?,?,1
0.067256,0.018672,-0.058744,-0.206565,-0.30888,-0.413803,-0.615714,-0.489726,-0.309991,-0.630689,-0.471932,-0.471778,-0.507225,-0.530376,-0.596831,-0.659717,-0.614351,-0.658696,-0.665777,-0.60699,-0.526371,-0.524418,-0.623031,-0.621346,-0.600573,-0.542157,?,?,?,1
0.174066,0.120183,0.015721,-0.148691,-0.17902,-0.091183,-0.274628,-0.390642,-0.580881,-0.826085,-0.935262,-1.042286,-0.679862,-0.885675,-0.70789,-0.485673,-0.546423,-0.704247,-0.867819,-0.811536,-0.910977,-0.935421,?,?,?,?,?,?,?,1
0.078806,-0.043693,-0.107083,-0.318523,-0.414512,-0.466125,-0.535885,-0.67432,-0.853992,-0.883008,-0.844833,-0.84696,-0.880809,-0.987157,-1.078002,-1.043587,-1.056354,-1.039592,-0.937689,-1.090194,?,?,?,?,?,?,?,?,?,1
-0.251224,-0.305126,-0.238987,-0.278182,-0.359135,-0.373741,-0.32432,-0.335201,-0.425376,-0.615969,-0.668299,-0.744537,-0.753931,-0.724072,-0.706304,-0.782704,-0.796814,-0.922675,-0.960896,-0.869107,-0.875268,?,?,?,?,?,?,?,?,1
0.208962,0.153905,-0.017998,-0.028411,-0.030111,-0.043778,-0.080798,-0.156028,-0.344119,-0.532443,-0.707949,-0.768673,-0.647224,-0.61904,-0.790902,-0.708329,-0.821887,-0.850473,-0.83004,-0.877377,-0.784868,-0.71548,-0.763775,?,?,?,?,?,?,1
-0.145848,-0.115359,-0.177232,-0.191557,-0.157945,-0.099372,-0.133935,-0.197304,-0.221052,-0.341313,-0.250419,-0.313657,-0.434988,-0.40479,-0.481133,-0.487641,-0.564467,-0.520098,-0.500703,-0.531574,-0.624686,-0.589257,?,?,?,?,?,?,?,1
-0.170479,-0.245514,-0.308582,-0.310491,-0.331005,-0.387487,-0.408304,-0.420475,-0.443226,-0.517504,-0.607764,-0.614515,-0.67266,-0.69765,-0.698884,-0.583097,-0.538645,-0.749443,?,?,?,?,?,?,?,?,?,?,?,1
-0.421519,-0.242862,-0.145072,-0.15284,-0.442855,-0.544536,-0.591056,-0.463698,-0.505034,-0.540542,-0.681505,-0.740702,-0.71044,-0.699914,-0.672804,-0.734745,-0.904536,-0.934969,-0.906916,-0.8889,-0.849363,-0.869018,-0.798423,-0.690366,?,?,?,?,?,1
0.010479,-0.146909,-0.08974,-0.134536,-0.419218,-0.475625,-0.440394,-0.380361,-0.710602,-0.418337,-0.429297,-0.59066,-0.643738,-0.681156,-0.677556,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
