isTest,fea1,fea2,fea3,fea4,fea5,fea6,fea7,fea8,fea9,fea10,fea11,fea12,fea13,fea14,fea15,fea16,fea17,fea18,fea19,fea20,fea21,fea22,fea23,fea24,sid,class
0,-0.372758,-1.821679,-0.846321,0.465208,-2.015072,-0.839242,-0.564097,-0.796225,-0.149604,0.599967,-0.823936,-0.28614,-0.507478,-1.369001,-0.51599,0.577993,-1.534954,-0.67319,-0.536343,-1.626957,-0.594337,0.619205,-1.771773,-0.810086,1,4.0
0,-0.367844,-1.841987,-0.846325,0.467033,-2.007557,-0.838151,-0.564499,-0.797622,-0.150012,0.597535,-0.822723,-0.285675,-0.489377,-1.382364,-0.537491,0.576627,-1.532795,-0.671919,-0.533816,-1.642514,-0.605328,0.617045,-1.79666,-0.818863,1,4.0
0,-0.378445,-1.821358,-0.839571,0.471135,-2.010042,-0.832021,-0.563753,-0.795704,-0.151608,0.597007,-0.820954,-0.285412,-0.510865,-1.371936,-0.510966,0.576456,-1.532478,-0.671555,-0.526319,-1.697145,-0.624302,0.624789,-1.738568,-0.78806,1,4.0
0,-0.386751,-1.845643,-0.848031,0.506153,-2.032552,-0.841696,-0.565008,-0.790238,-0.15235,0.599099,-0.822648,-0.285793,-0.506752,-1.383616,-0.53098,0.579362,-1.535441,-0.672198,-0.554538,-1.644413,-0.602884,0.6341,-1.749744,-0.816695,1,4.0
0,-0.417101,-1.941721,-0.8855,0.611207,-1.953282,-0.902529,-0.57355,-0.79973,-0.169575,0.606181,-0.826938,-0.290546,-0.529976,-1.560801,-0.658221,0.626759,-1.482552,-0.659393,-0.576196,-1.763092,-0.694843,0.680086,-1.664565,-0.857897,1,4.0
0,-0.447204,-2.005778,-1.002093,0.697417,-1.861078,-1.058504,-0.591972,-0.787166,-0.207009,0.620752,-0.835003,-0.303692,-0.553175,-1.543811,-0.722623,0.670219,-1.428929,-0.70697,-0.589268,-1.814681,-0.870227,0.644423,-1.629405,-1.062815,1,4.0
0,-0.423585,-1.817611,-1.227122,0.721512,-1.699443,-1.290399,-0.597853,-0.785186,-0.263083,0.630438,-0.814874,-0.308081,-0.571202,-1.464814,-0.880218,0.731736,-1.397019,-0.797608,-0.571564,-1.740102,-1.019315,0.688522,-1.375435,-1.181124,1,4.0
0,-0.318506,-1.560247,-1.452898,0.652092,-1.253402,-1.479425,-0.575932,-0.780899,-0.318625,0.631059,-0.806363,-0.309106,-0.540385,-1.280633,-0.931738,0.710177,-1.059375,-1.04766,-0.447728,-1.514241,-1.323711,0.627196,-1.033427,-1.381972,1,4.0
0,-0.144364,-1.225895,-1.603039,0.452124,-0.62668,-1.669508,-0.576825,-0.673679,-0.339046,0.628942,-0.82302,-0.314351,-0.448449,-1.027519,-0.921625,0.628153,-0.718984,-1.001174,-0.303923,-1.245233,-1.412281,0.501895,-0.596528,-1.305949,1,4.0
0,0.075895,-0.853063,-1.678848,0.202564,-0.216944,-1.637722,-0.560693,-0.753113,-0.465226,0.587418,-0.751136,-0.407735,-0.202275,-0.827562,-1.342274,0.452838,-0.415134,-1.106467,-0.049817,-0.930497,-1.565415,0.346545,-0.180807,-1.458844,1,4.0
0,0.347454,-0.419435,-1.688274,-0.063753,0.166592,-1.48942,-0.4966,-0.851777,-0.430005,0.607909,-0.770869,-0.467278,-0.090042,-0.562911,-1.279874,0.270444,-0.148361,-1.150325,0.322836,-0.503481,-1.582031,0.155687,0.148894,-1.331063,1,4.0
0,0.561359,0.009286,-1.356675,-0.3016,0.434528,-1.087193,-0.399367,-0.564194,-0.765126,0.547169,-0.613066,-0.548631,0.306065,-0.122272,-1.278044,0.0231,0.115226,-0.940182,0.374904,-0.20482,-1.350045,-0.063785,0.348112,-1.099285,1,4.0
0,0.849287,0.381121,-0.699367,-0.284377,0.530182,-0.496914,-0.33397,-0.457678,-0.749286,0.670507,-0.705992,-0.566001,0.48846,0.160424,-0.846739,-0.015005,0.108507,-0.553147,0.670274,0.111394,-0.886897,0.066728,0.108065,-0.242192,1,4.0
0,0.797611,0.272432,-0.378241,-0.100933,0.141329,-0.325527,-0.438892,-0.58052,-0.566712,0.675995,-0.756906,-0.482589,0.386564,-0.036735,-0.740557,0.065359,-0.122314,-0.607148,0.645501,0.062657,-0.584151,0.1371,0.060721,-0.375037,1,4.0
0,0.441814,0.066764,-0.417872,-0.581304,-0.670784,-0.812241,-0.590723,-0.677016,-0.401578,0.652479,-0.87774,-0.523161,0.104759,-0.263369,-0.754957,-0.218486,-0.506998,-0.757567,0.425811,-0.415392,-0.614052,-0.3031,-0.344056,-0.688694,1,4.0
0,0.254091,-0.017016,-0.425954,-0.639331,-0.546166,-0.651837,-0.596805,-0.61663,-0.408228,0.645065,-0.849434,-0.548248,0.097175,-0.223171,-0.73751,-0.297384,-0.496127,-0.777943,0.374088,-0.368716,-0.558631,-0.293014,-0.33697,-0.702296,1,4.0
0,0.234146,-0.034722,-0.401918,-0.643672,-0.515768,-0.647363,-0.605876,-0.601536,-0.423964,0.63758,-0.832701,-0.551154,0.087908,-0.202889,-0.714614,-0.313211,-0.479224,-0.77528,0.343776,-0.353349,-0.520106,-0.420871,-0.752426,-0.531622,1,4.0
0,0.232438,-0.027134,-0.376071,-0.64667,-0.51174,-0.679982,-0.617812,-0.587737,-0.443909,0.638319,-0.829921,-0.550688,0.090782,-0.196325,-0.701716,-0.32219,-0.47287,-0.771095,0.366914,-0.360686,-0.550309,-0.329035,-0.320609,-0.693743,1,4.0
0,0.523842,-0.340397,-0.438593,-0.651358,-0.509378,-0.702791,-0.59614,-0.533696,-0.517505,0.638376,-0.828542,-0.551833,0.152626,-0.176979,-0.676441,-0.328879,-0.466836,-0.767251,0.381172,-0.36606,-0.586667,-0.332517,-0.308661,-0.695346,1,4.0
0,0.372282,0.099757,-0.250388,-0.645455,-0.555969,-0.834707,-0.526093,-0.563987,-0.732529,0.641868,-0.823806,-0.551368,0.137758,-0.131498,-0.537585,-0.305258,-0.397293,-0.728957,0.380195,-0.362941,-0.603428,-0.414913,-0.246866,-0.622987,1,4.0
0,0.297769,0.131993,-0.452534,-0.782841,-0.532075,-0.809882,-0.67368,-0.525502,-0.593025,0.689039,-0.816451,-0.535196,0.00632,-0.043376,-0.684426,-0.280722,-0.290681,-0.684571,0.344337,0.048408,-0.550115,-0.407055,-0.254313,-0.794207,1,4.0
0,0.062438,0.329044,-0.685466,-0.493971,-0.054251,-0.71634,-0.796923,-0.450246,-0.53899,0.841067,-0.771187,-0.473944,-0.250828,0.140763,-0.704332,0.065846,0.029542,-0.574948,0.053048,0.200691,-0.806053,-0.486259,-0.144266,-0.803718,1,4.0
0,-0.160582,0.595222,-0.891882,0.084138,0.505936,-0.390237,-1.0288,-0.28277,-0.386924,0.949251,-0.389637,-0.373787,-0.544495,0.270133,-0.700492,0.4911,0.115595,-0.356686,-0.303749,0.421103,-0.944572,0.229361,0.308278,-0.494199,1,4.0
0,-0.633307,0.624985,-1.170822,0.342128,0.605833,-0.623153,-1.06858,-0.249624,-0.324548,1.050856,-0.40669,-0.189166,-0.821853,0.26527,-0.822307,0.650812,0.298246,-0.421056,-0.725226,0.490504,-1.195113,0.51684,0.434969,-0.728199,1,4.0
